id,name,price,description
1,GMC,8586.64,Automated stable pricing structure
2,Suzuki,9835.38,Open-source mission-critical moratorium
3,Ford,8401.87,Total 3rd generation challenge
4,Cadillac,3246.21,Automated asymmetric Graphic Interface
5,GMC,9198.29,Mandatory bi-directional benchmark
6,Chevrolet,3419.78,Face to face impactful leverage
7,Hyundai,4172.5,Public-key executive leverage
8,Mitsubishi,9815.08,Stand-alone holistic capacity
9,Volkswagen,6778.27,Sharable systemic array
10,Oldsmobile,7493.2,Integrated asynchronous function
